kode_tempat,jenis_perangkat,hostname,merk_spek,ip_perangkat,kondisi
DAOP6,PC,DAOP-ASETADM4,Rakitan - Core i3 -2100,10.11.0.159,SO
DAOP6,PC,DAOP-ASETADM6,Rakitan - Core i5 -2310,TIDAK KONEK,SO
DAOP6,PC,DAOP-ASETADM7,Rakitan - Core 2 duo,10.11.0.161,SO
DAOP6,PC,DAOP-ASETADM9,Rakitan - Core i5 -540,TIDAK KONEK,SO
DAOP6,PC,DAOP-ASETADM10,Rakitan - Core i3 -2100,10.11.0.163,SO
DAOP6,PC,DAOP-ASETAM1,Asus Dekstop pc - Core i3 -4170,TIDAK KONEK,SO
DAOP6,PC,DAOP-ASETAM2,,10.11.0.165,SO
DAOP6,PC,DAOP-ASETAM3,,10.11.0.166,SO
DAOP6,PC,DAOP-ASETADM5,Rakitan - Core i3 -2130,TIDAK KONEK,SO
DAOP6,PC,DAOP-PADESIGN,Dell Inspriron 3671 - Core i5-9400,10.11.0.222,SO
DAOP6,PC,DAOP-ASET1,Rakitan - Core i3-2130,TIDAK KONEK,SO
DAOP6,PC,DAOP-KOM_CS1,,,SO
DAOP6,PC,DAOP-KOM_STAFF2,ACER ASPIRE - Core i5 -8400,10.11.0.180,SO
DAOP6,PC,DAOP-KOM_STAFF3,,10.11.0.172,SO
DAOP6,PC,DAOP-KOM_S_CC,HP - Core i3 -6100,10.11.0.190,SO
DAOP6,PC,DAOP-KOM_AMCC,HP - Core i3 -6100,10.11.0.174,SO
DAOP6,PC,DAOP-KOM_WWN,DELL VOSTRO - Core i5 -8400,10.11.0.170,SO
DAOP6,PC,DAOP-KOM_AGS,DELL VOSTRO - Core i5 -8400,10.11.0.178,SO
DAOP6,PC,DAOP-KOM_STAFF5,DELL VOSTRO - Core i5 -8400,10.11.0.194,SO
DAOP6,PC,DAOP-KOM_CS2,ACER ASPIRE - Core i5 -7400,10.11.0.195,SO
DAOP6,PC,DAOP-KOM_CS1,HP p6230I - Pentium dual core,10.11.0.180,SO
DAOP6,PC,DAOP-KOM_STAFF4,ASUS K31CD - Core i3 -6100,10.11.0.177,SO
DAOP6,PC,DAOP-KOM_AMSARPEN,DELL VOSTRO - Core i5 -8400,10.11.0.179,SO
DAOP6,PC,DAOP-KOM_MAN,ASUS K31CD - Core i3 -6100,,SO
DAOP6,PC,DAOP-KOMDSGN,Dell Inspiron 3671 - Core I5 -9400,10.11.0.194,SO
DAOP6,PC,DAOP-IT184,HP 3330 MT - Core i3 -3240,10.11.0.184,SO
DAOP6,PC,DAOP-IT186,ASUS - Core i3-4170,10.11.0.186,SO
DAOP6,PC,DAOP-IT185,DELL Inspiron 3671 - Core I3-9100,10.11.0.185,SO
DAOP6,PC,DAOP-IT188,DELL Inspiron 3671 - Core I3-9100,10.11.0.188,SO
DAOP6,PC,DAOP-IT_189,DELL Inspiron 3671 - Core I3-9100,10.11.0.189,SO
DAOP6,PC,DAOP-IT187,COMPAQ CQ3321L,10.11.0.187,SO
DAOP6,PC,DAOP-IT_AM1,,10.11.0.183,SO
DAOP6,PC,DAOP-IT_AM2,,10.11.0.182,SO
DAOP6,PC,DAOP-IT MAN,Dell - Inspiron 3250,,SO
DAOP6,PC,SERVER-KAV,DELL - Intel Xeon,10.11.0.80,SO
DAOP6,PC,DAOP-SERVERTAY,,10.11.0.213,SO
DAOP6,PC,DAOP-ITDESIGN,DELL Inspiron 3671 - Core I5 -9100,10.11.0.226,SO
DAOP6,PC,DAOP-RAKOR_PC1,DELL Inspiron 3470,,SO
DAOP6,PC,DAOP-RAKOR_PC2,DELL Inspiron 3470,,SO
DAOP6,PC,DAOP-RAKOR_PC3,DELL XPS 8930,,SO
DAOP6,PC,DAOP-BIMALOKA,,10.11.0.212,SO
DAOP6,PC,DAOP-SEKDA,ASUS BM2AD_D310312510MT_ED3,10.11.0.171,SO
DAOP6,PC,DAOP-SEKDA2,HP p2-1280d,,SO
DAOP6,PC,DAOP-EVP,DELL Inspiron 3470,,SO
DAOP6,PC,DAOP-DEPUTY,,,SO
DAOP6,PC,DAOP-STL_AMSS,MINI PC LENOVO IDEA CORE - 3217u,10.11.50.153,SO
DAOP6,PC,DAOP-STL_AMIE,MINI PC LENOVO IDEA CORE - 3217u,10.11.50.154,SO
DAOP6,PC,DAOP-STL_AMPNKP,MINI PC LENOVO IDEA CORE - 3217u,10.11.50.164,SO
DAOP6,PC,DAOP-STL_AMPRKP,MINI PC LENOVO IDEA CORE - 3217u,10.11.50.162,SO
DAOP6,PC,DAOP-STL_MAN,,10.11.50.151,SO
DAOP6,PC,DAOP-STL_STAFF1,HP PRO 3005mt - AMD Phenom II X2,,SO
DAOP6,PC,DAOP-STL_STAFF2,Rakitan - Core i3 -2100,,SO
DAOP6,PC,DAOP-STL_STAFF3,Dell - Vostro 3670 - Core i3 -9100,10.11.50.156,SO
DAOP6,PC,DAOP-STLDSGN,Dell -Inspiron 3671 - Core I5-9400,10.11.50.163,SO
DAOP6,Printer,EPSON L565,EPSON L565,,SO
DAOP6,Printer,EPSON L210,EPSON L210,,SO
DAOP6,Printer,HP LASERJET P1006,HP LASERJET P1006,,SO
DAOP6,Printer,EPSON L200,EPSON L200,,SO
DAOP6,Printer,HP LASERJET P2035,HP LASERJET P2035,,SO
DAOP6,Printer,CANON PIXMA IX6560,CANON PIXMA IX6560,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L220,EPSON L220,,SO
DAOP6,Printer,HP LASERJET M1212nf MFP,HP LASERJET M1212nf MFP,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,CANON IP2770,CANON IP2770,,SO
DAOP6,Printer,EPSON L220,EPSON L220,,SO
DAOP6,Printer,EPSON GT-2500,EPSON GT-2500,,SO
DAOP6,Printer,HP LASERJET M13191F MFP,HP LASERJET M13191F MFP,,SO
DAOP6,Printer,EPSON L385,EPSON L385,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L1455,EPSON L1455,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,BROTHER DCP-L2540DW,BROTHER DCP-L2540DW,,SO
DAOP6,Printer,HP LASERJET MFP M177fw,HP LASERJET MFP M177fw,,SO
DAOP6,Printer,EPSON L3150,EPSON L3150,,SO
DAOP6,Printer,EPSON LQ145,EPSON LQ145,,SO
DAOP6,Printer,LI1020,LI1020,,SO
DAOP6,Printer,EPSON LQ145,EPSON LQ145,,SO
DAOP6,Printer,Brother DCP-L7540DW,Brother DCP-L7540DW,,SO
DAOP6,Printer,Color Laserjet Pro M177 Fw,Color Laserjet Pro M177 Fw,,SO
DAOP6,Printer,HP INKTANK WIreLESS 415,HP INKTANK WIreLESS 415,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L565,EPSON L565,,SO
DAOP6,Printer,Epson LQ 2190,Epson LQ 2190,,SO
DAOP6,Printer,HP COLOR LASER JET PRO MFPM177FW,HP COLOR LASER JET PRO MFPM177FW,,SO
DAOP6,Printer,Brother DCP-L7540DW,Brother DCP-L7540DW,,SO
DAOP6,Printer,BROTHER DCP-T710W,BROTHER DCP-T710W,,SO
DAOP6,Printer,HP LASERJET P1102w,HP LASERJET P1102w,,SO
DAOP6,Printer,EPSON L210,EPSON L210,,SO
DAOP6,Printer,CANON PIXMA MP287,CANON PIXMA MP287,,SO
DAOP6,Printer,CANON PIXMA MP258,CANON PIXMA MP258,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L220,EPSON L220,,SO
DAOP6,Printer,HP COLOR LASER JET PRO MFPM177FW,HP COLOR LASER JET PRO MFPM177FW,,SO
"DAOP6,Printer,""EPSON L360"
"HP"",""EPSON L360"
"HP"",,SO"
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L220,EPSON L220,,SO
DAOP6,Printer,BROTHER J6710DW,BROTHER J6710DW,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,HP DESKJET INK ADVAN 2135,HP DESKJET INK ADVAN 2135,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L310,EPSON L310,,SO
DAOP6,Printer,HP LASERJET PRO MFP M130FW,HP LASERJET PRO MFP M130FW,,SO
DAOP6,Printer,CANON PIXMA MX 397,CANON PIXMA MX 397,,SO
DAOP6,Printer,CANON PIXMA MP287,CANON PIXMA MP287,,SO
DAOP6,Printer,CANON IP2770,CANON IP2770,,SO
DAOP6,Printer,Brother,Brother,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,CANON PIXMA,CANON PIXMA,,SO
DAOP6,Printer,-,-,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L1800,EPSON L1800,,SO
DAOP6,Printer,SCANJET PRO 2000 S1,SCANJET PRO 2000 S1,,SO
DAOP6,Printer,-,-,,SO
DAOP6,Printer,EPSON L1800,EPSON L1800,,SO
DAOP6,Printer,-,-,,SO
DAOP6,Printer,CANON MG2570,CANON MG2570,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,-,-,,SO
DAOP6,Printer,EPSON L1800,EPSON L1800,,SO
DAOP6,Printer,CANON G2010,CANON G2010,,SO
DAOP6,Printer,EPSON L220,EPSON L220,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L360,EPSON L360,,SO
DAOP6,Printer,EPSON L220,EPSON L220,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L220,EPSON L220,,SO
DAOP6,Printer,EPSON L3110,EPSON L3110,,SO
DAOP6,Printer,EPSON L210,EPSON L210,,SO
DAOP6,Printer,HONEYWELL PC24T,HONEYWELL PC24T,,SO
DAOP6,Printer,EPSON L3310,EPSON L3310,,SO
DAOP6,Printer,LASERJET M1212NF MFP,LASERJET M1212NF MFP,,SO
DAOP6,Printer,Epson L3110,Epson L3110,,SO
DAOP6,Printer,EPSON L565,EPSON L565,,SO
DAOP6,Printer,BROTHER DCP-T700W,BROTHER DCP-T700W,,SO
DAOP6,Printer,EPSON L100,EPSON L100,,SO
DAOP6,Printer,EPSON L210,EPSON L210,,SO
